permno,ticker,comnam,permco
84186,AICX,APPLIED IMAGING CORP,15121
80325,SUNN,SUNTRON CORP,12898
76792,SY,SYBASE INC,11088
81691,MMUS,MAKEMUSIC INC,13819
85511,TRMS,TRIMERIS INC,15744
28345,MUR,MURPHY OIL CORP,21236
26084,CTG,COMPUTER TASK GROUP INC,1186
82535,VRTY,VERITY INC,14027
83699,TIE,TITANIUM METALS CORP,14691
38659,GNTX,GENTEX CORP,5242
80128,VMI,VALMONT INDUSTRIES INC,4761
11478,BRY,BERRY PETROLEUM CO,9309
75503,ARTL,ARISTOTLE CORP,8319
19166,FMC,F M C CORP,20681
77893,MDII,MDI INC,4663
86298,TWTR,TWEETER HOME ENTRTNMNT GROUP INC,16212
82212,KFRC,KFORCE INC,13938
88157,EMBT,EMBARCADERO TECHNOLOGIES INC,37152
89265,APPX,AMERICAN PHARMACEUTICAL PARTNERS,42536
21742,CASY,CASEYS GENERAL STORES INC,6515
63335,PDC,PIONEER DRILLING CO,4202
82163,CLGY,CELLEGY PHARMACEUTICALS INC,13934
38333,GBND,GENERAL BINDING CORP,1903
38658,SRP,SIERRA PACIFIC RESOURCES NEW,21269
90418,PSPT,PEOPLESUPPORT INC,45724
80233,DAKT,DAKTRONICS INC,12843
75104,VIA,VIACOM INC,21866
86189,SCHS,SCHOOL SPECIALTY INC,16144
11775,JOUT,JOHNSON OUTDOORS INC,9576
83602,IMN,IMATION CORP,31665
76846,TSCC,TECHNOLOGY SOLUTIONS CO,11116
89577,SINT,S I INTERNATIONAL INC,43693
38578,TNB,THOMAS & BETTS CORP,21745
51423,MCS,MARCUS CORP,3031
82734,ACCL,ACCELRYS INC,14188
88457,NENG,NETWORK ENGINES INC,37948
79791,CNTY,CENTURY CASINOS INC,12557
78955,AVID,AVID TECHNOLOGY INC,12009
86235,ABGX,ABGENIX INC,16195
84169,LIN,LINENS N THINGS INC,31799
86260,ELON,ECHELON CORP,16236
84409,BTHS,BENTHOS INC,15302
33398,NGA,NORTH AMERICAN GALV & CTNGS INC,21056
32942,HUB,HUBBELL INC,20945
85445,UNA,UNOVA INC,32127
87378,CHTR,CHARTER COMMUNICATIONS INC,17322
84656,ALV,AUTOLIV INC,31946
80237,ARTX,AROTECH CORP,12874
88271,VLGC,VIROLOGIC INC,37534
38295,ZAP,ZAPATA CORP,21948
62042,PENX,PENFORD CORP,6893
89414,CTMI,C T I MOLECULAR IMAGING INC,43251
86362,SYXI,I X Y S CORP DEL,16284
76081,THO,THOR INDUSTRIES INC,6765
85232,BJ,B J S WHOLESALE CLUB INC,32023
10874,BC,BRUNSWICK CORP,20344
34463,FSCR,FEDERAL SCREW WKS,1847
55467,MUEL,MUELLER PAUL CO,3087
89956,HTM,HYTHIAM INC,44709
77289,DUSA,DUSA PHARMACEUTICALS INC,11290
86946,RAI,REYNOLDS AMERICAN INC,35164
80798,ASVI,A S V INC,13255
85939,WEH,WESTCOAST HOSPITALITY CORP,34715
82720,LTRE,LEARNING TREE INTERNATIONAL INC,14191
85223,VDAT,VISUAL DATA CORP,15616
12190,TORM,T O R MINERALS INTL INC,10042
89909,FCPO,FACTORY CARD & PARTY OUTLET CORP,15225
41929,CNF,C N F INC,20501
84365,DEL,DELTIC TIMBER CORP,31822
87717,EXPD,EXPEDITORS INTERNATIONAL WA INC,7232
20204,CR,CRANE CO,20531
90024,BKRS,BAKERS FOOTWEAR GROUP INC,44880
75494,MIKR,MIKRON INFRARED INC,8017
82825,LCAV,L C A VISION INC,14307
60898,BWL,BOWL AMERICA INC,614
77095,CHKR,CHECKERS DRIVE IN RSTRNTS INC,11207
84185,,ANDEAN DEVELOPMENT CORP,15135
84041,TGI,TRIUMPH GROUP INC NEW,31779
81747,SWW,SITEL CORP,13763
89915,MGRC,MCGRATH RENTCORP,7301
37023,FPU,FLORIDA PUBLIC UTILITIES CO,1820
53831,CTX,CENTEX CORP,20413
88634,HYDL,HYDRIL,39166
90319,GOOG,GOOGLE INC,45483
11825,CYBE,CYBEROPTICS CORP,9632
33137,ENZN,ENZON PHARMACEUTICALS INC,6863
88463,RITA,RITA MEDICAL SYSTEMS INC,37953
84763,VLG,VALLEY NATIONAL GASES INC,15431
87634,YDIW,Y D I WIRELESS INC,17917
81510,,COVER ALL TECHNOLOGIES INC,6882
85306,OMTL,OMTOOL LTD,15642
88163,FWHT,FINDWHAT COM,37157
89217,AAP,ADVANCE AUTO PARTS INC,42402
88287,DLA,DELTA APPAREL INC,37666
38914,CEN,CERIDIAN CORP NEW,20514
18403,JCP,PENNEY J C CO INC,21375
88564,RTIX,REGENERATION TECHNOLOGIES INC,38459
52695,GWW,GRAINGER W W INC,20841
86098,,WIDEPOINT CORP,16113
90285,MNKD,MANNKIND CORP,45425
90642,XGEN,XENOGEN CORP,45438
88578,MICU,VICURON PHARMACEUTICALS INC,38472
89031,TASR,TASER INTERNATIONAL INC,41562
85953,SOFO,SONIC FOUNDRY INC,34728
79683,CMOS,CREDENCE SYSTEMS CORP,12515
89332,DDE,DOVER DOWNS GAMING & ENTMT INC,42919
75976,NEOG,NEOGEN CORP,10288
40440,DBD,DIEBOLD INC,20582
64785,,ARGAN INC,5130
80294,RGCO,R G C RESOURCES INC,26503
68857,CVC,CABLEVISION SYSTEMS CORP,20373
80179,VALU,VALUE LINE INC,5974
90315,ECST,ECOST COM INC,45479
77701,CTEC,CHOLESTECH CORP,11593
11701,IMKTA,INGLES MARKETS INC,9522
82235,MEH,MIDWEST AIR GROUP INC,30947
88237,UCO,UNIVERSAL COMPRESSION HLDGS INC,37502
90333,SNTS,SANTARUS INC,45529
54199,SJW,S J W CORP,21545
10661,CYAN,CYANOTECH CORP,8565
81116,VECO,VEECO INSTRUMENTS INC DEL,13447
40695,NLX,ANALEX CORP,2111
90321,NRPH,NEW RIVER PHARMACEUTICALS INC,45484
89890,ACD,ASCONI CORP,44601
89686,WRNC,WARNACO GROUP INC,24345
65787,TRB,TRIBUNE COMPANY NEW,21782
89260,UDI,UNITED DEFENSE INDUSTRIES INC,42530
53663,UIL,U I L HOLDINGS CORP,21819
83148,LNDC,LANDEC CORP,14374
85351,TPTH,TRIPATH IMAGING INC,15680
11368,AIRT,AIR T INC,6977
88203,VDSI,VASCO DATA SEC INTL INC,37195
81084,HDSN,HUDSON TECHNOLOGIES INC,13407
84030,ERS,EMPIRE RESOURCES INC DEL,31767
12174,GGNS,GENUS INC,10011
87464,HBP,HUTTIG BUILDING PRODUCTS INC,36557
